S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
1,A (One Level),Accounts & Audit,Assistant  Accounts General  (Audit) / Assistant  Accountant  General (Audit),"Sitting, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Communication, Organisation, Memory, Socialisation, Following Schedules, Work environment change, Behaviour management, Emotional management, Travelling",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Both Legs (BL), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)",,Multiple Disabilities (MD B and C),"They examine account books and 
records of business establishments,
private institutions, Government or 
Quasi Government offices for 
accuracy and completeness of book 
keeping records and financial 
statement. Check items of entries in 
day book or journal for correct 
recording, scrutinise bills, vouchers 
and relevant entries in cash books. 
Verify ledger entries against 
receipts for cash payment. Check 
total for proper observance of 
accounts procedure and ensure that 
all revenue and expenditure and 
disbursements and properly 
authorized, vouched and correctly 
classified. Report to appropriate 
authority irregularities in accounts, 
improper expenditure etc. May 
prepare financial statement and final accounts such as profit and 
loss.","The work is performed mostly inside 
in well lighted rooms. The workers 
usually work alone. Occasional group 
activity is required. No hazards are 
involved. Mobility should not be 
restricted with use of appliance for 
field duties. Incumbent should be 
considered with appropriate aids& 
appliances as per needs.",TRUE
2,D (Fourth Level),Handicrafts,brass finisher(86),"Sitting, Standing, Walking, Bending, Lifting, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Attends to repair of brass valves, chest, cocks, door handle,
doors, fire boxes and glass fittings.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever necessary",TRUE
3,D (Fourth Level),Estate and Maintenance,Utility Hand,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Utility Hand performs a variety of maintenance duties across
many platforms. He may be hired by construction companies,
offices and other organizations that have specific
maintenance needs. He plays a huge role in keeping utility
systems such as electricity, water and gas up and running at
all times.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
4,D (Fourth Level),Estate and Maintenance,Lascar OD,"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Seeing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)",,,,"Lascar OD; Sea man helps to drive Ships and Launches.
Helps in maintaining the Ships, launch etc.","The work is performed
mostly outside especially",TRUE
5,D (Fourth Level),Estate and Maintenance,SG. Janitors,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Cleaning and Maintenance,"The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
6,D (Fourth Level),Estate and Maintenance,Janitor,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Cleaning and Maintenance,"The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
7,D (Fourth Level),Estate and Maintenance,Grinding Machine Attendant,"Standing, Seeing",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Grinding Machine Attendant (Abrasive), Shifting Machine
Attendant (Abrasive) shifts and grades powdered ore or
minerals by machine for use as abrasive powder and collects them separately according to their grades. Loads hopper of
grading or sifting machine with powder ore; ensures that
different grades or mesh of sieves are set to machine by
Fitter; places empty containers or bags at delivery end of each
sizing or grading compartment; starts machine; maintains
steady flow of powder into sieve and pokes rod to remove
blocks as necessary; observes operations to ensure correct
sifting and sorting of powder according to size of sieving
mesh; collects sifted materials according to grades (coarse to
fine particles) in bags and stores them in central place. Cleans
machine with compressed air at close of shift and keeps
surroundings clean and tidy.","The work is performed
mostly inside. Occasional
field work is involved.He usually works alone.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
8,D (Fourth Level),Estate and Maintenance,Size Maker (Abrasive),"Sitting, Bending, Manipulation with Fingers, Seeing",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Size Maker (Abrasive); Mixing Machine Man (Abrasive)
prepares sizing mixture and ensures its continuous supply to
sizing machine (abrasive). Weights and measures sizing
materials such as glue, resin, varnish, solvents, water, etc. as
per formulae and fills them in heating kettle or tank fitted
with steam pipes; opens steam valve to heat kettle and boil
ingredients; allows ingredients to mix and boil for prescribed
period; stops supply of steam after set period; opens outlet or
drain valve of kettle or tank to drain and maintain regular
supply of glue to sizing machine; cleans tank and keeps place
clean and tidy.","The work is performed
mostly inside. The job
requires lifting heavy
weights. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary",TRUE
9,D (Fourth Level),Estate and Maintenance,Mistry,"Sitting, Standing, Walking, Bending, Lifting, Kneeling & Crouching, Pulling & Pushing, Manipulation with Fingers, Seeing, Hearing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Maintenance and other manual works assigned by superiors.,"The work is performed
inside as well as outside.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
appliances. Whenever
necessary.",TRUE
10,D (Fourth Level),Estate and Maintenance,Gestetner Operator,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Operating Gestetner machine. Maintaining the machine.,"The work is performed mostly inside . Incumbent should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
